genome	ANI98	ANI99
GCA_021109335.1	GCA_000005845.2	GCA_000010385.1
GCA_021109355.1	GCA_000005845.2	GCA_000005845.2
GCA_021109395.1	GCA_000005845.2	GCA_000005845.2
GCA_021109415.1	GCA_000005845.2	GCA_000005845.2
GCA_021109425.1	GCA_000005845.2	GCA_000005845.2
GCA_021109455.1	GCA_000005845.2	GCA_000005845.2
GCA_021109465.1	GCA_000005845.2	GCA_000005845.2
GCA_021109495.1	GCA_000005845.2	GCA_000005845.2
GCA_021109515.1	GCA_000005845.2	GCA_000005845.2
GCA_021109535.1	GCA_000005845.2	GCA_000010385.1
GCA_021109555.1	GCA_000005845.2	GCA_000005845.2
GCA_021109565.1	GCA_000190955.1	GCA_009898965.1
GCA_021109595.1	GCA_000005845.2	GCA_000010765.1
GCA_021109615.1	GCA_000005845.2	GCA_000005845.2
GCA_021109635.1	GCA_000019645.1	GCA_000474825.1
GCA_021109655.1	GCA_000005845.2	GCA_000355415.1
GCA_021109665.1	GCA_000005845.2	GCA_000005845.2
GCA_021109675.1	GCA_000019645.1	GCA_000474825.1
GCA_021109715.1	GCA_000005845.2	GCA_000005845.2
GCA_021109735.1	GCA_000026325.1	GCA_000026325.1
GCA_021109745.1	GCA_000176695.2	GCA_000176695.2
GCA_021109775.1	GCA_000026325.1	GCA_000026325.1
GCA_021109785.1	GCA_000005845.2	GCA_000164215.1
GCA_021109815.1	GCA_000026325.1	GCA_000026325.1
GCA_021109835.1	GCA_000005845.2	GCA_000010385.1
GCA_021109845.1	GCA_000005845.2	GCA_000176575.2
GCA_021109865.1	GCA_000176695.2	GCA_000176695.2
GCA_021109895.1	GCA_000019645.1	GCA_000474825.1
GCA_021109905.1	GCA_000026325.1	GCA_000297235.1
GCA_021109935.1	GCA_000005845.2	GCA_000010385.1
GCA_021109945.1	GCA_000005845.2	GCA_000164215.1
GCA_021109975.1	GCA_000005845.2	GCA_000005845.2
GCA_021109995.1	GCA_000005845.2	GCA_000010385.1
GCA_021110005.1	GCA_000176695.2	GCA_000176695.2
GCA_021110035.1	GCA_000026325.1	GCA_000026325.1
GCA_021110045.1	GCA_000005845.2	GCA_000164215.1
GCA_021110055.1	GCA_000171935.1	GCA_000461675.1
GCA_021110095.1	GCA_000026325.1	GCA_000026325.1
GCA_021110115.1	GCA_000026325.1	GCA_000352425.1
GCA_021110135.1	GCA_000026325.1	GCA_000326965.1
GCA_021110155.1	GCA_000005845.2	GCA_003911825.1
GCA_021110165.1	GCA_000005845.2	GCA_000010385.1
GCA_021110175.1	GCA_000026325.1	GCA_000026325.1
GCA_021110215.1	GCA_000005845.2	GCA_000017765.1
GCA_021110235.1	GCA_000005845.2	GCA_000010385.1
GCA_021159565.1	GCA_000005845.2	GCA_000010385.1
GCA_021166015.1	GCA_000005845.2	GCA_000006665.1
GCA_021166395.1	GCA_000005845.2	GCA_000006665.1
GCA_021166415.1	GCA_000005845.2	GCA_000006665.1
GCA_021166435.1	GCA_000005845.2	GCA_000006665.1
GCA_021167015.1	GCA_000005845.2	GCA_000010385.1
GCA_021167055.1	GCA_000007445.1	GCA_000326265.1
GCA_021167075.1	GCA_000005845.2	GCA_000017765.1
GCA_021167095.1	GCA_000007445.1	GCA_000007445.1
GCA_021167105.1	GCA_000005845.2	GCA_000005845.2
GCA_021167135.1	GCA_000005845.2	GCA_000005845.2
GCA_021167155.1	GCA_000026325.1	GCA_000352105.1
GCA_021167175.1	GCA_000007445.1	GCA_000010485.1
GCA_021167195.1	GCA_000005845.2	GCA_000010385.1
GCA_021167205.1	GCA_000005845.2	GCA_000005845.2
GCA_021167235.1	GCA_000026325.1	GCA_000026325.1
GCA_021167275.1	GCA_000026325.1	GCA_000326965.1
GCA_021167285.1	GCA_000005845.2	GCA_000005845.2
GCA_021167315.1	GCA_000026325.1	GCA_000194235.2
GCA_021167335.1	GCA_000007445.1	GCA_000010485.1
GCA_021167355.1	GCA_000007445.1	GCA_000776435.1
GCA_021167375.1	GCA_000005845.2	GCA_000010385.1
GCA_021167385.1	GCA_000005845.2	GCA_000005845.2
GCA_021167405.1	GCA_000007445.1	GCA_000326265.1
GCA_021167435.1	GCA_000005845.2	GCA_000176575.2
GCA_021167455.1	GCA_000005845.2	GCA_000017765.1
GCA_021167475.1	GCA_000005845.2	GCA_000010385.1
GCA_021167485.1	GCA_000005845.2	GCA_000005845.2
GCA_021167515.1	GCA_000005845.2	GCA_000010385.1
GCA_021167525.1	GCA_000026325.1	GCA_000026325.1
GCA_021167555.1	GCA_000005845.2	GCA_000010385.1
GCA_021167575.1	GCA_000005845.2	GCA_000010385.1
GCA_021167595.1	GCA_000005845.2	GCA_000005845.2
GCA_021167605.1	GCA_000005845.2	GCA_000010385.1
GCA_021167635.1	GCA_000005845.2	GCA_000005845.2
GCA_021167655.1	GCA_000005845.2	GCA_000010385.1
GCA_021167675.1	GCA_000005845.2	GCA_000010385.1
GCA_021167695.1	GCA_000007445.1	GCA_000010485.1
GCA_021167705.1	GCA_000005845.2	GCA_000010385.1
GCA_021167735.1	GCA_000007445.1	GCA_000326265.1
GCA_021167755.1	GCA_000019645.1	GCA_000474825.1
GCA_021167775.1	GCA_000005845.2	GCA_000010385.1
GCA_021167795.1	GCA_000019645.1	GCA_000474825.1
GCA_021167815.1	GCA_000005845.2	GCA_000010385.1
GCA_021167835.1	GCA_000005845.2	GCA_000164335.1
GCA_021167855.1	GCA_000005845.2	GCA_000005845.2
GCA_021167875.1	GCA_000005845.2	GCA_000005845.2
GCA_021167895.1	GCA_000005845.2	GCA_000010385.1
GCA_021167915.1	GCA_000007445.1	GCA_000010485.1
GCA_021167935.1	GCA_000005845.2	GCA_000005845.2
GCA_021167955.1	GCA_000019645.1	GCA_000242015.1
GCA_021167965.1	GCA_000007445.1	GCA_000010485.1
GCA_021167985.1	GCA_000005845.2	GCA_000005845.2
GCA_021168015.1	GCA_000026325.1	GCA_000351385.1
GCA_021168035.1	GCA_000005845.2	GCA_000005845.2
GCA_021168055.1	GCA_000026325.1	GCA_000351385.1
GCA_021168065.1	GCA_000005845.2	GCA_000005845.2
GCA_021168085.1	GCA_000005845.2	GCA_000010385.1
GCA_021168115.1	GCA_000026325.1	GCA_000351385.1
GCA_021168125.1	GCA_000007445.1	GCA_000326265.1
GCA_021168155.1	GCA_000005845.2	GCA_000005845.2
GCA_021168165.1	GCA_000026325.1	GCA_000351385.1
GCA_021168185.1	GCA_000005845.2	GCA_000005845.2
GCA_021168215.1	GCA_000007445.1	GCA_000010485.1
GCA_021168235.1	GCA_000026325.1	GCA_000351385.1
GCA_021168255.1	GCA_000007445.1	GCA_000010485.1
GCA_021168275.1	GCA_000005845.2	GCA_000017765.1
GCA_021168285.1	GCA_000005845.2	GCA_000010385.1
GCA_021168295.1	GCA_000007445.1	GCA_000010485.1
GCA_021168335.1	GCA_000019645.1	GCA_000242015.1
GCA_021168355.1	GCA_000005845.2	GCA_000005845.2
GCA_021168365.1	GCA_000007445.1	GCA_000007445.1
GCA_021168395.1	GCA_000005845.2	GCA_000005845.2
GCA_021168415.1	GCA_000007445.1	GCA_000010485.1
GCA_021168435.1	GCA_000007445.1	GCA_000007445.1
GCA_021172985.1	GCA_000007445.1	GCA_000010485.1
GCA_021172995.1	GCA_000007445.1	GCA_000010485.1
GCA_021173025.1	GCA_000007445.1	GCA_000010485.1
GCA_021173045.1	GCA_000007445.1	GCA_000010485.1
GCA_021173055.1	GCA_000007445.1	GCA_000010485.1
GCA_021184105.1	GCA_000005845.2	GCA_000006665.1
GCA_021184125.1	GCA_000005845.2	GCA_000006665.1
GCA_021188655.1	GCA_000005845.2	GCA_000010385.1
GCA_021188675.1	GCA_000005845.2	GCA_000005845.2
GCA_021188715.1	GCA_000005845.2	GCA_000005845.2
GCA_021188775.1	GCA_000005845.2	GCA_000010385.1
GCA_021203085.1	GCA_000007445.1	GCA_000007445.1
GCA_021207135.1	GCA_000026325.1	GCA_000350785.1
GCA_021207195.1	GCA_000026325.1	GCA_000350785.1
GCA_021207215.1	GCA_000026325.1	GCA_000350785.1
GCA_021207225.1	GCA_000026325.1	GCA_000350785.1
GCA_021207275.1	GCA_000026325.1	GCA_000350785.1
GCA_021207575.1	GCA_000026325.1	GCA_000350785.1
GCA_021207655.1	GCA_000026325.1	GCA_000350785.1
GCA_021207775.1	GCA_000026325.1	GCA_000350785.1
GCA_021207875.1	GCA_000026325.1	GCA_000350785.1
GCA_021207935.1	GCA_000026325.1	GCA_000350785.1
GCA_021228395.1	GCA_000005845.2	GCA_000010385.1
GCA_021228435.1	GCA_000005845.2	GCA_000010385.1
GCA_021228455.1	GCA_000005845.2	GCA_000351325.1
GCA_021228475.1	GCA_000005845.2	GCA_000005845.2
GCA_021228495.1	GCA_000005845.2	GCA_000010385.1
GCA_021228515.1	GCA_000005845.2	GCA_000010385.1
GCA_021228525.1	GCA_000005845.2	GCA_000010385.1
GCA_021228555.1	GCA_000005845.2	GCA_000164335.1
GCA_021228975.1	GCA_000007445.1	GCA_000010485.1
GCA_021229215.1	GCA_000005845.2	GCA_000010745.1
GCA_021229225.1	GCA_000019645.1	GCA_000474825.1
GCA_021229255.1	GCA_000005845.2	GCA_000005845.2
GCA_021229275.1	GCA_000005845.2	GCA_000005845.2
GCA_021229315.1	GCA_000005845.2	GCA_002093035.1
GCA_021229335.1	GCA_000005845.2	GCA_000005845.2
GCA_021229355.1	GCA_000005845.2	GCA_000164215.1
GCA_021229395.1	GCA_000005845.2	GCA_000005845.2
GCA_021229415.1	GCA_000005845.2	GCA_000005845.2
GCA_021229425.1	GCA_000007445.1	GCA_000010485.1
GCA_021229435.1	GCA_000005845.2	GCA_000010385.1
GCA_021229475.1	GCA_000005845.2	GCA_000005845.2
GCA_021229485.1	GCA_000005845.2	GCA_000005845.2
GCA_021229495.1	GCA_000005845.2	GCA_000010385.1
GCA_021229535.1	GCA_000005845.2	GCA_000010385.1
GCA_021229545.1	GCA_000005845.2	GCA_000010385.1
GCA_021229575.1	GCA_000007445.1	GCA_000010485.1
GCA_021229595.1	GCA_000005845.2	GCA_000005845.2
GCA_021229615.1	GCA_000005845.2	GCA_000005845.2
GCA_021229635.1	GCA_000005845.2	GCA_000010385.1
GCA_021229655.1	GCA_000005845.2	GCA_000005845.2
GCA_021229675.1	GCA_000005845.2	GCA_000010385.1
GCA_021229695.1	GCA_000005845.2	GCA_000010385.1
GCA_021229715.1	GCA_000005845.2	GCA_000164215.1
GCA_021229735.1	GCA_000005845.2	GCA_000005845.2
GCA_021276425.1	GCA_000005845.2	GCA_000010385.1
GCA_021277305.1	GCA_000005845.2	GCA_000010385.1
GCA_021277325.1	GCA_000005845.2	GCA_000010385.1
GCA_021278385.1	GCA_000005845.2	GCA_000010385.1
GCA_021295415.1	GCA_000007445.1	GCA_000007445.1
GCA_021295435.1	GCA_000007445.1	GCA_000013305.1
GCA_021295455.1	GCA_000007445.1	GCA_000010485.1
GCA_021295475.1	GCA_000007445.1	GCA_000014845.1
GCA_021295495.1	GCA_000007445.1	GCA_000007445.1
GCA_021295515.1	GCA_000007445.1	GCA_000010485.1
GCA_021295535.1	GCA_000007445.1	GCA_000007445.1
GCA_021295555.1	GCA_000007445.1	GCA_000007445.1
GCA_021295565.1	GCA_000007445.1	GCA_000007445.1
GCA_021295595.1	GCA_000007445.1	GCA_000264095.1
GCA_021295635.1	GCA_000007445.1	GCA_000026305.1
GCA_021307345.1	GCA_000601195.1	GCA_021307345.1
GCA_021311635.1	GCA_000026325.1	GCA_000351385.1
GCA_021311655.1	GCA_000005845.2	GCA_000164215.1
GCA_021311665.1	GCA_000005845.2	GCA_000166595.2
GCA_021311695.1	GCA_000005845.2	GCA_000010385.1
GCA_021311715.1	GCA_000005845.2	GCA_000010385.1
GCA_021341875.1	GCA_000005845.2	GCA_000005845.2
GCA_021341885.1	GCA_000007445.1	GCA_000010485.1
GCA_021341935.1	GCA_000007445.1	GCA_000010485.1
GCA_021341955.1	GCA_000007445.1	GCA_000010485.1
GCA_021341975.1	GCA_000007445.1	GCA_000010485.1
GCA_021341985.1	GCA_000007445.1	GCA_000010485.1
GCA_021342075.1	GCA_000005845.2	GCA_000005845.2
GCA_021342085.1	GCA_000026325.1	GCA_000350785.1
GCA_021342095.1	GCA_000005845.2	GCA_000164215.1
GCA_021342135.1	GCA_000005845.2	GCA_000010385.1
GCA_021342145.1	GCA_000005845.2	GCA_000010385.1
GCA_021342165.1	GCA_000007445.1	GCA_000010485.1
GCA_021342175.1	GCA_000005845.2	GCA_000010385.1
GCA_021342185.1	GCA_000026325.1	GCA_000326965.1
GCA_021342235.1	GCA_000005845.2	GCA_000010385.1
GCA_021342245.1	GCA_000005845.2	GCA_000010385.1
GCA_021342255.1	GCA_000005845.2	GCA_000010385.1
GCA_021342275.1	GCA_000007445.1	GCA_000326265.1
GCA_021342295.1	GCA_000026325.1	GCA_000350785.1
GCA_021342335.1	GCA_000005845.2	GCA_000005845.2
GCA_021342345.1	GCA_000005845.2	GCA_000010385.1
GCA_021342365.1	GCA_000005845.2	GCA_000005845.2
GCA_021342395.1	GCA_000005845.2	GCA_000010385.1
GCA_021342435.1	GCA_000005845.2	GCA_000010385.1
GCA_021342455.1	GCA_000007445.1	GCA_000010485.1
GCA_021342465.1	GCA_000005845.2	GCA_000005845.2
GCA_021342505.1	GCA_000005845.2	GCA_000005845.2
GCA_021342535.1	GCA_000005845.2	GCA_000010385.1
GCA_021342555.1	GCA_000005845.2	GCA_000005845.2
GCA_021342575.1	GCA_000005845.2	GCA_000005845.2
GCA_021342585.1	GCA_000019645.1	GCA_000474825.1
GCA_021342595.1	GCA_000026325.1	GCA_000351385.1
GCA_021342635.1	GCA_000005845.2	GCA_000164215.1
GCA_021342655.1	GCA_000007445.1	GCA_000010485.1
GCA_021342675.1	GCA_000007445.1	GCA_000010485.1
GCA_021342685.1	GCA_000007445.1	GCA_000010485.1
GCA_021342715.1	GCA_000005845.2	GCA_000005845.2
GCA_021342735.1	GCA_000005845.2	GCA_000164215.1
GCA_021342755.1	GCA_000007445.1	GCA_000010485.1
GCA_021342765.1	GCA_000007445.1	GCA_000010485.1
GCA_021342795.1	GCA_000007445.1	GCA_000010485.1
GCA_021342815.1	GCA_000007445.1	GCA_000010485.1
GCA_021342835.1	GCA_000005845.2	GCA_000005845.2
GCA_021342855.1	GCA_000026325.1	GCA_000351385.1
GCA_021342875.1	GCA_000007445.1	GCA_000010485.1
GCA_021342885.1	GCA_000007445.1	GCA_000010485.1
GCA_021342895.1	GCA_000005845.2	GCA_000249715.2
GCA_021342935.1	GCA_000019645.1	GCA_000019645.1
GCA_021342955.1	GCA_000005845.2	GCA_000164215.1
GCA_021342965.1	GCA_000007445.1	GCA_000010485.1
GCA_021342995.1	GCA_000005845.2	GCA_000010385.1
GCA_021343005.1	GCA_000026325.1	GCA_000350785.1
GCA_021343015.1	GCA_000005845.2	GCA_000164215.1
GCA_021343055.1	GCA_000005845.2	GCA_000026245.1
GCA_021343075.1	GCA_000005845.2	GCA_000164215.1
GCA_021343095.1	GCA_000007445.1	GCA_000010485.1
GCA_021343115.1	GCA_000007445.1	GCA_000010485.1
GCA_021343135.1	GCA_000019645.1	GCA_000019645.1
GCA_021343155.1	GCA_000005845.2	GCA_000005845.2
GCA_021343175.1	GCA_000005845.2	GCA_000010385.1
GCA_021343195.1	GCA_000019645.1	GCA_000474825.1
GCA_021343205.1	GCA_000007445.1	GCA_000010485.1
GCA_021343235.1	GCA_000019645.1	GCA_000474825.1
GCA_021343255.1	GCA_000005845.2	GCA_000010385.1
GCA_021343275.1	GCA_000007445.1	GCA_000010485.1
GCA_021343295.1	GCA_000005845.2	GCA_000005845.2
GCA_021343315.1	GCA_000007445.1	GCA_000010485.1
GCA_021343335.1	GCA_000005845.2	GCA_000164215.1
GCA_021343355.1	GCA_000026325.1	GCA_000350785.1
GCA_021343375.1	GCA_000005845.2	GCA_000010385.1
GCA_021343395.1	GCA_000026325.1	GCA_000350785.1
GCA_021343415.1	GCA_000005845.2	GCA_000164215.1
GCA_021343425.1	GCA_000005845.2	GCA_000005845.2
GCA_021343455.1	GCA_000007445.1	GCA_000010485.1
GCA_021343475.1	GCA_000005845.2	GCA_000005845.2
GCA_021343495.1	GCA_000019645.1	GCA_000019645.1
GCA_021343505.1	GCA_000007445.1	GCA_000010485.1
GCA_021343535.1	GCA_000007445.1	GCA_000010485.1
GCA_021343555.1	GCA_000005845.2	GCA_000010385.1
GCA_021343565.1	GCA_000007445.1	GCA_000010485.1
GCA_021343585.1	GCA_000007445.1	GCA_000010485.1
GCA_021343615.1	GCA_000007445.1	GCA_000010485.1
GCA_021343625.1	GCA_000007445.1	GCA_000010485.1
GCA_021343655.1	GCA_000019645.1	GCA_000474825.1
GCA_021343665.1	GCA_000005845.2	GCA_000164215.1
GCA_021343695.1	GCA_000007445.1	GCA_000010485.1
GCA_021343705.1	GCA_000007445.1	GCA_000010485.1
GCA_021343735.1	GCA_000007445.1	GCA_000010485.1
GCA_021343755.1	GCA_000005845.2	GCA_000017765.1
GCA_021343765.1	GCA_000026325.1	GCA_000351385.1
GCA_021343785.1	GCA_000019645.1	GCA_000242015.1
GCA_021343815.1	GCA_000019645.1	GCA_000474825.1
GCA_021343835.1	GCA_000026325.1	GCA_000351385.1
GCA_021343855.1	GCA_000026325.1	GCA_000351385.1
GCA_021343865.1	GCA_000005845.2	GCA_000005845.2
GCA_021343875.1	GCA_000005845.2	GCA_000005845.2
GCA_021343915.1	GCA_000026325.1	GCA_000351385.1
GCA_021343935.1	GCA_000019645.1	GCA_000242015.1
GCA_021343975.1	GCA_000005845.2	GCA_000005845.2
GCA_021352155.1	GCA_000005845.2	GCA_000005845.2
GCA_021352215.1	GCA_000005845.2	GCA_000010385.1
GCA_021352255.1	GCA_000005845.2	GCA_000010385.1
GCA_021352275.1	GCA_000026325.1	GCA_000026325.1
GCA_021352285.1	GCA_000005845.2	GCA_000010385.1
GCA_021352325.1	GCA_000005845.2	GCA_000164215.1
GCA_021352355.1	GCA_000005845.2	GCA_000164215.1
GCA_021352375.1	GCA_000005845.2	GCA_000005845.2
GCA_021352385.1	GCA_000005845.2	GCA_000010385.1
GCA_021352455.1	GCA_000005845.2	GCA_000005845.2
GCA_021352575.1	GCA_000026325.1	GCA_000350785.1
GCA_021352615.1	GCA_000005845.2	GCA_000010385.1
GCA_021352635.1	GCA_000005845.2	GCA_000010385.1
GCA_021352655.1	GCA_000005845.2	GCA_000010385.1
GCA_021353525.1	GCA_000026325.1	GCA_000350785.1
GCA_021353595.1	GCA_000005845.2	GCA_000010385.1
GCA_021353655.1	GCA_000005845.2	GCA_000010385.1
GCA_021353675.1	GCA_000005845.2	GCA_000005845.2
GCA_021353765.1	GCA_000005845.2	GCA_000010385.1
GCA_021353845.1	GCA_000005845.2	GCA_000010385.1
GCA_021353865.1	GCA_000005845.2	GCA_000026245.1
GCA_021353895.1	GCA_000005845.2	GCA_000010385.1
GCA_021353925.1	GCA_000005845.2	GCA_000010385.1
GCA_021353975.1	GCA_000005845.2	GCA_000010385.1
GCA_021353995.1	GCA_000005845.2	GCA_000010385.1
GCA_021354015.1	GCA_000005845.2	GCA_000010385.1
GCA_021354035.1	GCA_000005845.2	GCA_000010385.1
GCA_021354055.1	GCA_000005845.2	GCA_000010385.1
GCA_021354065.1	GCA_000005845.2	GCA_000010385.1
GCA_021354095.1	GCA_000005845.2	GCA_000010385.1
GCA_021354135.1	GCA_000005845.2	GCA_000326205.1
GCA_021354155.1	GCA_000005845.2	GCA_000010385.1
GCA_021354175.1	GCA_000005845.2	GCA_000010385.1
GCA_021354195.1	GCA_000005845.2	GCA_000326205.1
GCA_021354215.1	GCA_000005845.2	GCA_000010385.1
GCA_021354235.1	GCA_000005845.2	GCA_000010385.1
GCA_021354255.1	GCA_000005845.2	GCA_000010385.1
GCA_021354275.1	GCA_000005845.2	GCA_000010385.1
GCA_021354295.1	GCA_000005845.2	GCA_000010385.1
GCA_021354315.1	GCA_000005845.2	GCA_000010385.1
GCA_021354335.1	GCA_000005845.2	GCA_000010385.1
GCA_021354355.1	GCA_000005845.2	GCA_000010385.1
GCA_021354375.1	GCA_000005845.2	GCA_000010385.1
GCA_021354395.1	GCA_000005845.2	GCA_000010385.1
GCA_021354405.1	GCA_000005845.2	GCA_000010385.1
GCA_021354435.1	GCA_000005845.2	GCA_000005845.2
GCA_021354455.1	GCA_000005845.2	GCA_000010385.1
GCA_021354475.1	GCA_000005845.2	GCA_000010385.1
GCA_021354495.1	GCA_000005845.2	GCA_000355555.1
GCA_021354515.1	GCA_000005845.2	GCA_000010385.1
GCA_021354535.1	GCA_000005845.2	GCA_000017765.1
GCA_021354555.1	GCA_000005845.2	GCA_000010385.1
GCA_021354565.1	GCA_000005845.2	GCA_000010385.1
GCA_021378315.1	GCA_000007445.1	GCA_000193975.2
GCA_021383885.1	GCA_000007445.1	GCA_000010485.1
GCA_021383905.1	GCA_000007445.1	GCA_000010485.1
GCA_021390295.1	GCA_000171935.1	GCA_001284545.1
GCA_021394495.1	GCA_000007445.1	GCA_000014845.1
GCA_021394545.1	GCA_000019645.1	GCA_000474825.1
GCA_021394715.1	GCA_000026325.1	GCA_000297235.1
GCA_021395045.1	GCA_000005845.2	GCA_000010385.1
GCA_021398465.1	GCA_000007445.1	GCA_000007445.1
GCA_021398935.1	GCA_000007445.1	GCA_000007445.1
GCA_021398995.1	GCA_000007445.1	GCA_000010485.1
GCA_021399015.1	GCA_000007445.1	GCA_000007445.1
GCA_021412535.1	GCA_000007445.1	GCA_000010485.1
GCA_021413265.1	GCA_000005845.2	GCA_000005845.2
GCA_021413285.1	GCA_000005845.2	GCA_000005845.2
GCA_021413305.1	GCA_000005845.2	GCA_000005845.2
GCA_021413345.1	GCA_000005845.2	GCA_000005845.2
GCA_021416185.1	GCA_000007445.1	GCA_000007445.1
GCA_021416205.1	GCA_000007445.1	GCA_000007445.1
GCA_021416225.1	GCA_000019645.1	GCA_000474825.1
GCA_021416255.1	GCA_000005845.2	GCA_000005845.2
GCA_021416285.1	GCA_000005845.2	GCA_000164215.1
GCA_021416305.1	GCA_000005845.2	GCA_000164215.1
GCA_021416325.1	GCA_000026325.1	GCA_000350785.1
GCA_021416345.1	GCA_000005845.2	GCA_000005845.2
GCA_021416365.1	GCA_000005845.2	GCA_000005845.2
GCA_021416375.1	GCA_000005845.2	GCA_000010385.1
GCA_021416385.1	GCA_000026325.1	GCA_000351385.1
GCA_021416425.1	GCA_000007445.1	GCA_000010485.1
GCA_021416435.1	GCA_000026325.1	GCA_000351385.1
GCA_021416445.1	GCA_000005845.2	GCA_000010385.1
GCA_021416485.1	GCA_000005845.2	GCA_000005845.2
GCA_021416495.1	GCA_000005845.2	GCA_000010385.1
GCA_021416565.1	GCA_000007445.1	GCA_000010485.1
GCA_021416585.1	GCA_000176695.2	GCA_000176695.2
GCA_021416925.1	GCA_000005845.2	GCA_000164215.1
GCA_021416985.1	GCA_000019645.1	GCA_000474825.1
GCA_021416995.1	GCA_000005845.2	GCA_000164215.1
GCA_021417025.1	GCA_000005845.2	GCA_000010385.1
GCA_021417045.1	GCA_000005845.2	GCA_000164215.1
GCA_021417055.1	GCA_000005845.2	GCA_000164215.1
GCA_021417075.1	GCA_000005845.2	GCA_000005845.2
GCA_021417105.1	GCA_000005845.2	GCA_000010385.1
GCA_021417145.1	GCA_000019645.1	GCA_000474825.1
GCA_021417165.1	GCA_000005845.2	GCA_000005845.2
GCA_021440155.1	GCA_000005845.2	GCA_000005845.2
GCA_021440275.1	GCA_000005845.2	GCA_000010385.1
GCA_021440825.1	GCA_000005845.2	GCA_000005845.2
GCA_021440835.1	GCA_000005845.2	GCA_000005845.2
GCA_021440905.1	GCA_000005845.2	GCA_000005845.2
GCA_021440945.1	GCA_000005845.2	GCA_000005845.2
GCA_021441095.1	GCA_000005845.2	GCA_000010385.1
GCA_021441205.1	GCA_000005845.2	GCA_000010385.1
GCA_021441215.1	GCA_000005845.2	GCA_000005845.2
GCA_021441285.1	GCA_000005845.2	GCA_000005845.2
GCA_021441385.1	GCA_000005845.2	GCA_000005845.2
GCA_021441965.1	GCA_000005845.2	GCA_000797975.1
GCA_021441985.1	GCA_000005845.2	GCA_000005845.2
GCA_021460725.1	GCA_000005845.2	GCA_000005845.2
GCA_021460845.1	GCA_000005845.2	GCA_000010385.1
GCA_021460905.1	GCA_000005845.2	GCA_000010385.1
GCA_021460935.1	GCA_000005845.2	GCA_000005845.2
GCA_021461045.1	GCA_000005845.2	GCA_000005845.2
GCA_021461215.1	GCA_000005845.2	GCA_000005845.2
GCA_021461265.1	GCA_000026325.1	GCA_000350785.1
GCA_021461335.1	GCA_000005845.2	GCA_000164215.1
GCA_021463945.1	GCA_000005845.2	GCA_000017765.1
GCA_021463955.1	GCA_000026325.1	GCA_000026325.1
GCA_021463965.1	GCA_000005845.2	GCA_000010385.1
GCA_021463995.1	GCA_000026325.1	GCA_000350785.1
GCA_021464025.1	GCA_000026325.1	GCA_000026325.1
GCA_021464045.1	GCA_000007445.1	GCA_000013305.1
GCA_021464065.1	GCA_000019645.1	GCA_000242015.1
GCA_021464085.1	GCA_000026325.1	GCA_000026325.1
GCA_021464105.1	GCA_000007445.1	GCA_000010485.1
GCA_021464115.1	GCA_000005845.2	GCA_000005845.2
GCA_021464145.1	GCA_000005845.2	GCA_000005845.2
GCA_021464165.1	GCA_000005845.2	GCA_000005845.2
GCA_021464185.1	GCA_000005845.2	GCA_000010385.1
GCA_021464205.1	GCA_000019645.1	GCA_000242015.1
GCA_021464215.1	GCA_000005845.2	GCA_000026245.1
GCA_021483145.1	GCA_000026325.1	GCA_000351385.1
GCA_021483165.1	GCA_000005845.2	GCA_000010765.1
GCA_021483185.1	GCA_000005845.2	GCA_000010385.1
GCA_021483205.1	GCA_000005845.2	GCA_000010385.1
GCA_021483225.1	GCA_000005845.2	GCA_000005845.2
GCA_021483245.1	GCA_000026325.1	GCA_000350785.1
GCA_021483285.1	GCA_000005845.2	GCA_000005845.2
GCA_021483295.1	GCA_000190955.1	GCA_000190995.1
GCA_021483315.1	GCA_000026325.1	GCA_000351385.1
GCA_021483325.1	GCA_000007445.1	GCA_000007445.1
GCA_021483365.1	GCA_000005845.2	GCA_000010385.1
GCA_021483385.1	GCA_000007445.1	GCA_000326445.1
GCA_021484785.1	GCA_000007445.1	GCA_000446905.1
GCA_021493535.1	GCA_000007445.1	GCA_000007445.1
GCA_021493705.1	GCA_000171935.1	GCA_018789845.1
GCA_021493725.1	GCA_000005845.2	GCA_000164335.1
GCA_021493745.1	GCA_000171935.1	GCA_018789845.1
GCA_021493755.1	GCA_000005845.2	GCA_000005845.2
GCA_021493765.1	GCA_000005845.2	GCA_000215145.2
GCA_021493805.1	GCA_000176695.2	GCA_000176695.2
GCA_021493825.1	GCA_000005845.2	GCA_000010385.1
GCA_021493835.1	GCA_000005845.2	GCA_000010385.1
GCA_021493855.1	GCA_000005845.2	GCA_000010385.1
GCA_021493885.1	GCA_000005845.2	GCA_000164215.1
GCA_021494025.1	GCA_000026325.1	GCA_000026325.1
GCA_021494205.1	GCA_000026325.1	GCA_000026325.1
GCA_021494225.1	GCA_000005845.2	GCA_000164335.1
GCA_021494365.1	GCA_000005845.2	GCA_000215145.2
GCA_021494385.1	GCA_000005845.2	GCA_000005845.2
GCA_021494445.1	GCA_000005845.2	GCA_000005845.2
GCA_021494465.1	GCA_000005845.2	GCA_000005845.2
GCA_021494485.1	GCA_000171935.1	GCA_018789845.1
GCA_021494505.1	GCA_000005845.2	GCA_000010385.1
GCA_021494525.1	GCA_000005845.2	GCA_000010385.1
GCA_021494545.1	GCA_000005845.2	GCA_000010385.1
GCA_021494565.1	GCA_000171935.1	GCA_018789845.1
